"dt_group","dt_name","dt_easting","dt_northing","dt_lat","dt_lon","dt_2003","dt_2004","dt_2005","dt_2006","dt_2007","dt_2008","dt_2009","dt_2010","dt_2011","dt_2012","dt_2013","dt_2014","dt_2015","dt_2016"
"Burngreave","Scott Road","436143","389604","53.4020280310521","-1.45785503059966","-","29","28","28","30","27","-","-","-","-","-","-","-","-"
"Burngreave","Firshill School, Barnsley Road","435792","389616","53.402159727433","-1.46313264471569","-","29","28","30","31","25","-","-","-","-","-","-","-","-"
"Burngreave","Barnsley Road","436225","389872","53.4044312519134","-1.45659109051215","-","34","35","33","39","35","-","-","-","-","-","-","-","-"
"Tinsley","Town Street","439953","390961","53.4139510454699","-1.4003824646388","-","53","43","51","53","47","45","43","49","44","45","44","46","38"
"Tinsley","Seimens Close","440035","390828","53.4127494386278","-1.39916570991442","-","46","43","48","47","43","40","40","44","38","40","37","37","32"
"Tinsley","Greasebro Road","439852","390709","53.4116936730937","-1.40193365499866","-","40","42","41","44","39","35","37","37","34","39","34","35","31"
"Tinsley","186 Ferrars Road","440411","390874","53.4131343097847","-1.39350350906683","-","37","38","33","37","31","28","30","29","30","32","27","28","26"
"Tinsley","Ingfield Avenue","440199","390610","53.4107776136456","-1.39672630394906","-","44","39","40","37","36","34","32","36","33","35","33","33","27"
"Tinsley","Sheffield Road Back","440111","391199","53.4160782461506","-1.39797534116769","-","-","-","38","38","35","33","31","33","31","35","33","31","29"
"Tinsley","Ferrars Road/Sheffield Rd Front ‘07","440080","391250","53.416538985013","-1.39843525746077","-","-","-","31","33","35","35","35","38","36","40","36","36","32"
"Tinsley","151 Ferrars Road","440415","390905","53.4134126333379","-1.39343937229572","-","-","-","32","32","33","30","24","-","-","-","-","-","-"
"Tinsley","Junior School Building","440242","390513","53.4099025057496","-1.39609181083224","-","-","-","-","-","-","40","40","44","41","43","41","37","30"
"Tinsley","Junior School Field","440286","390541","53.4101508235495","-1.39542637795554","-","-","-","-","-","-","43","44","49","45","50","44","46","34"
"Kelham Island","Wicker","435901","388068","53.3882386666334","-1.46166882239072","-","-","-","43","41","42","38","38","42","42","45","45","43","43"
"Kelham Island","Ladys Bridge","435792","387845","53.3862416762341","-1.46333282746868","-","-","-","82","77","44","42","40","45","47","52","47","47","37"
"Kelham Island","Gibraltar Street","435214","387899","53.3867657634499","-1.47201662760544","-","-","-","37","41","34","34","32","35","35","37","38","30","30"
"Kelham Island","Penistone Road","434806","388216","53.3896419781945","-1.47811585854577","-","-","-","46","55","49","51","45","54","52","56","54","52","46"
