"permitReference","permitName","address","postcode","permitUrl","section","type","subtype"
"ronseal.Ronseal_Ltd.pdf","Ronseal Ltd (PDF, 915 KB)","Thorncliffe Park, Chapeltown, Sheffield, S35 2YP","S35 2YP","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/coatings/solvent-coatings-manufacture/ronseal/Ronseal%20Ltd.pdf","B","coatings","solvent-coatings-manufacture"
"abbey-glen.Abbey_Glen_Ltd.pdf","Abbey Glen Ltd (PDF, 1108 KB)","21 Fulwood Road, Sheffield, S10 3BB","S10 3BB","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/abbey-glen/Abbey%20Glen%20Ltd.pdf","B","dry-cleaners",""
"morrisons-chesterfield-rd.Morrisons_-_Chesterfield_Road.pdf","Morrisons - Chesterfield Road (PDF, 2646 KB)","84-130 Chesterfield Road, Meadowhead, Sheffield, S8 7UE","S8 7UE","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/morrisons-chesterfield-rd/Morrisons%20-%20Chesterfield%20Road.pdf","B","dry-cleaners",""
"Morrisons---Penistone-Road.Morrisons_-_Penistone_Road.pdf","Morrisons - Penistone Road (PDF, 1337 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Morrisons---Penistone-Road/Morrisons%20-%20Penistone%20Road.pdf","B","dry-cleaners",""
"Betty-Boo.Betty_Boo_Limited.pdf","Betty Boo Limited (PDF, 696 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Betty-Boo/Betty%20Boo%20Limited.pdf","B","dry-cleaners",""
"Churchills--Crookes.Churchills_Dry_Cleaners.pdf","Churchills Dry Cleaners (PDF, 844 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Churchills--Crookes/Churchills%20Dry%20Cleaners.pdf","B","dry-cleaners",""
"Elements.Elements_LDC_Ltd.pdf","Elements LDC Ltd (PDF, 663 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Elements/Elements%20LDC%20Ltd.pdf","B","dry-cleaners",""
"Elite--Station-Road.Elite_Dry_Cleaners.pdf","Elite Dry Cleaners (PDF, 595 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Elite--Station-Road/Elite%20Dry%20Cleaners.pdf","B","dry-cleaners",""
"Foxhill.Foxhill_Dry_Cleaners_%26_Launderette.pdf","Foxhill Dry Cleaners & Launderette (PDF, 690 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Foxhill/Foxhill%20Dry%20Cleaners%20%26%20Launderette.pdf","B","dry-cleaners",""
"Goodmans-Sparks.Goodmans_Sparks_Ltd.pdf","Goodmans Sparks Ltd (PDF, 1221 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Goodmans-Sparks/Goodmans%20Sparks%20Ltd.pdf","B","dry-cleaners",""
